,Annual Return,Annual Volatility,Sharpe Ratio
ABSA,0.025521098643628694,0.3387583423320339,0.0753371812718761
ANGLO,0.10739562586779075,0.4204112189290778,0.25545375820693333
BIDVEST,0.09657746084370755,0.2947720774208181,0.32763435970169275
CAPITEC,0.22742108833324504,0.34233532761816243,0.6643225807735168
DISCOVERY,0.06738937402489592,0.32356429297258393,0.20827197403579362
FIRSTRAND,0.05358772977528649,0.3179868510860962,0.16852184168073478
GOLDFIELDS,0.23896367075108949,0.5351239021280395,0.4465576473052263
MRPRICE,-0.02641386517750834,0.3660668498347358,-0.07215585128626949
MTN,-0.023807837786682547,0.41253552858241893,-0.05771099974950659
NASPERS,0.1596289052633962,0.37785514007647597,0.4224605896087271
NEDBANK,0.006692716593583747,0.3358030329259706,0.01993048286451656
SANLAM,0.03146183637794946,0.3053722040933099,0.1030278327766071
SASOL,-0.126906705270315,0.5653129328875409,-0.2244893012125036
SHOPRITE,0.04327797325995567,0.2990315317640912,0.14472712293798526
STANDARDBANK,0.06456987023755953,0.3131649706395483,0.20618484278651716
VODACOM,0.009254064454816427,0.2413095081313563,0.03834935691708839
WOOLWORTHS,-0.028676642800765855,0.3142887574202852,-0.09124297997849722
